,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
530,Incident on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
531,Incident on HOBLine,,,HOBLine,HOBLine,,Updated
532,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
533,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
534,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Cleared
535,Incident on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,,LincolnTunnel WB,LincolnTunnel WB,,Cleared
536,,,,JSQLine,JSQLine,,Updated
537,Construction on HOBLine,,HOBLine,Construction on HOBLine,Construction on HOBLine,,Updated
538,,,,on ToLine,Incident on ToLine,,Updated
539,Incident on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,,LincolnTunnel WB,LincolnTunnel WB,,
540,Incident on HarlemRiverDrive SB from Adam Clayton Powell Jr Boulevard; Macombs Dam Bridge to Franklin,Macombs Dam Bridge to Franklin,Macombs Dam Bridge to Franklin,HarlemRiverDrive SB,HarlemRiverDrive SB,Macombs Dam Bridge to Franklin,
541,Construction on MarineParkwayBridge SB at Rockaway Bound,,MarineParkwayBridge SB at Rockaway Bound,Construction on MarineParkwayBridge SB at Rockaway Bound,Rockaway Bound,,Cleared
542,Special Event,,BrooklynBatteryTunnel NB at Manhattan Bound,Manhattan Bound,Manhattan Bound,,
543,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
544,Special Event,,,Manhattan Bound,Manhattan Bound,,
545,,,,Brooklyn Bound Upper Level,Brooklyn Bound Upper Level,,
546,Construction,,HOBLine,Construction on HOBLine,Construction on HOBLine,,
547,,,,ToLine,Incident on ToLine,,
548,Construction,,BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,BlossomRoad EB from Landing Road North to Browncroft Boulevard,,
549,Construction on QueensMidtownTunnel EB at Queens Bound,,QueensMidtownTunnel EB at Queens Bound,Construction on QueensMidtownTunnel EB at Queens Bound,Queens Bound,,Cleared
550,Construction on QueensMidtownTunnel WB,,QueensMidtownTunnel WB at Manhattan Bound,Construction on QueensMidtownTunnel WB at Manhattan Bound,Manhattan Bound,,Cleared
551,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,Cleared
552,Construction on OceanParkwayNassauSuffolk WB from Cedar Beach Town Park to Town of Oyster Bay and Town,,from Cedar Beach Town Park to Town of Oyster Bay and Town,,Cedar Beach Town Park,,
553,Construction on LoopParkway,,Long Creek Bridge to Meadowbrook State Parkway,,Long Creek Bridge to Meadowbrook State Parkway,,
554,Construction on BrooklynBatteryTunnel SB at Brooklyn Bound,,BrooklynBatteryTunnel SB at Brooklyn Bound,Brooklyn Bound,Brooklyn Bound,,Updated
555,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,Updated
556,Construction on QueensMidtownTunnel EB at Queens Bound,,QueensMidtownTunnel EB at Queens Bound,Construction on QueensMidtownTunnel EB at Queens Bound,Queens Bound,,Updated
557,Construction on BrooklynBatteryTunnel NB at Manhattan Bound,,BrooklynBatteryTunnel NB at Manhattan Bound,Construction on BrooklynBatteryTunnel NB at Manhattan Bound,Manhattan Bound,,Updated
558,Construction on QueensMidtownTunnel WB,,QueensMidtownTunnel WB at Manhattan Bound,Construction on QueensMidtownTunnel WB at Manhattan Bound,Manhattan Bound,,Updated
559,Construction on HenryHudsonBridge NB at Bronx Bound,,HenryHudsonBridge NB at Bronx Bound,Construction on HenryHudsonBridge NB at Bronx Bound,Bronx Bound,,Cleared
560,Construction on LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,LincolnTunnel EB,,,,Cleared
561,Construction on RFKTriboroughBridge NB at Bronx Bound,,RFKTriboroughBridge NB at Bronx Bound,Construction on RFKTriboroughBridge NB at Bronx Bound,Construction on RFKTriboroughBridge NB at Bronx Bound,,Cleared
562,Construction on QueensMidtownTunnel at Manhattan Bound,,QueensMidtownTunnel at Manhattan Bound,Construction on QueensMidtownTunnel at Manhattan Bound,Construction on QueensMidtownTunnel at Manhattan Bound,,Cleared
563,Construction on ThrogsNeckBridge NB at Bronx Bound,,ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,,Cleared
564,Closure on WestStreet SB at Brooklyn Battery Tunnel,,,Brooklyn Battery Tunnel,Brooklyn Battery Tunnel,Brooklyn Battery Tunnel,Cleared
565,Construction on LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,LincolnTunnel EB,,LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,Updated
566,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,New York Side/Lower Level to New Jersey Side/Lower Level,New York Side/Lower Level to New Jersey Side/Lower Level,from New York Side/Lower Level to New Jersey Side/Lower Level,Updated
567,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
568,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,Updated
569,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway to New York Side/Lower Level,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Updated
570,Construction on HenryHudsonBridge SB at Manhattan Bound,,HenryHudsonBridge SB at Manhattan Bound,Manhattan Bound,Manhattan Bound,,Updated
571,Construction on HenryHudsonBridge NB at Bronx Bound,,HenryHudsonBridge NB at Bronx Bound,Construction on HenryHudsonBridge NB at Bronx Bound,Bronx Bound,,Updated
572,Incident on LincolnTunnel EB at from New Jersey,,,LincolnTunnel EB at from New Jersey,LincolnTunnel EB at from New Jersey,,Cleared
573,Incident on TaconicStateParkway SB at Croton Reservoir Bridge,,,TaconicStateParkway SB at Croton Reservoir Bridge,TaconicStateParkway SB at Croton Reservoir Bridge,,
574,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
575,Construction on ThrogsNeckBridge at Queens Bound,,ThrogsNeckBridge at Queens Bound,,Construction on ThrogsNeckBridge at Queens Bound,,Cleared
576,Closure on LincolnTunnel,,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Cleared
577,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
578,,,from East of Delaware River Bridge to East of Toll Plaza,,,,Cleared
579,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,,,Cleared
580,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,,,Cleared
581,Construction on HenryHudsonBridge at Manhattan Bound,,HenryHudsonBridge at Manhattan Bound,Construction on HenryHudsonBridge at Manhattan Bound,Construction on HenryHudsonBridge at Manhattan Bound,,Cleared
582,Cleared: Incident on BronxRiverParkway NB at East Gun Hill Road,,BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,,Cleared
583,Incident on BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,BronxRiverParkway NB at East Gun Hill Road,,
584,Cleared: Incident on HollandTunnel WB,,,HollandTunnel WB,HollandTunnel WB,,Cleared
585,,,PortJersey,,,,Cleared
586,Construction on PortJersey,,PortJersey,Construction on PortJersey,Construction on PortJersey,,Updated
587,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
588,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
589,Closure on LeonardStreet,,,Closure on LeonardStreet from Lafayette Street to Broadway,Closure on LeonardStreet,LeonardStreet from Lafayette Street to Broadway,Cleared
590,Closure on LeonardStreet,LeonardStreet,,Closure on LeonardStreet,Closure on LeonardStreet,LeonardStreet from Lafayette Street to Broadway,Closure
591,,,,HollandTunnel WB,HollandTunnel WB,,
592,Incident on FarRockawayBranch EB at Atlantic Terminal,,,Atlantic Terminal,Atlantic Terminal,,Cleared
593,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Cleared
594,Closure on LincolnTunnel,LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Updated
595,Construction on UnionTurnpike WB from Park Dr to Queens Blvd,,UnionTurnpike WB from Park Dr to Queens Blvd,,Construction on UnionTurnpike WB from Park Dr to Queens Blvd,,
596,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
597,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,
598,Incident on FarRockawayBranch EB at Atlantic Terminal,,,Atlantic Terminal,Atlantic Terminal,,
599,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
600,Construction on ThrogsNeckBridge at Queens Bound,,ThrogsNeckBridge at Queens Bound,Construction on ThrogsNeckBridge at Queens Bound,Construction on ThrogsNeckBridge at Queens Bound,,Updated
601,Construction on BronxwhitestoneBridge,,BronxwhitestoneBridge at Bronx Bound,Construction on BronxwhitestoneBridge at Bronx Bound,Bronx Bound,,Construction on BronxwhitestoneBridge
602,Construction on ThrogsNeckBridge,,ThrogsNeckBridge at Bronx Bound,Construction on ThrogsNeckBridge at Bronx Bound,Construction on ThrogsNeckBridge at Bronx Bound,,
603,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,
604,Construction,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
605,Closure on LincolnTunnel,Closure on LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,
606,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
607,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,
608,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
609,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Updated
610,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
611,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Cleared
612,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Cleared
613,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
614,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
615,Closure on QueensboroBridge EB,QueensboroBridge EB from Manhattan Side to Queens Side,,Closure on QueensboroBridge EB from Manhattan Side to Queens Side,Closure on QueensboroBridge EB from Manhattan Side to Queens Side,QueensboroBridge EB from Manhattan Side to Queens Side,
616,Special Event on MadisonSquareGarden at the Theater,,,at the Theater,at the Theater,,Updated
617,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
618,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,
619,Special Event on MadisonSquareGarden at the Theater,,,at the Theater,at the Theater,,Cleared
620,Cleared: Incident on JohnFKennedyInternationalAirport,,,JohnFKennedyInternationalAirport,JohnFKennedyInternationalAirport,,
621,Construction on HenryHudsonBridge,,HenryHudsonBridge at Manhattan Bound,Manhattan Bound,Manhattan Bound,,
622,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure
623,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
624,Incident on FranklinDRooseveltDrive SB at Williamsburg Bridge,,,Williamsburg Bridge,Williamsburg Bridge,,Cleared
625,Construction on GrandCentralParkway WB at Grand Central Parkway; Whitestone Expressway,,GrandCentralParkway WB at Grand Central Parkway; Whitestone Expressway,,Grand Central Parkway; Whitestone Expressway,,
626,Incident on FarRockawayBranch WB at Atlantic Terminal,,,Atlantic Terminal,Atlantic Terminal,,
627,Incident on HollandTunnel WB,,,HollandTunnel WB,HollandTunnel WB,,Updated
628,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
629,Construction on BabylonBranch EB at Atlantic Terminal,,BabylonBranch EB at Atlantic Terminal,,Construction on BabylonBranch EB at Atlantic Terminal,,Cleared
630,Construction on BabylonBranch EB at Atlantic Terminal,,BabylonBranch EB at Atlantic Terminal,Atlantic Terminal,Atlantic Terminal,,
631,,,,HollandTunnel WB,HollandTunnel WB,,
632,Incident on PulaskiSkyway NB from Broadway to Tonnelle Circle,,PulaskiSkyway NB from Broadway to Tonnelle Circle,PulaskiSkyway,PulaskiSkyway NB from Broadway to Tonnelle Circle,,
633,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
634,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,,RandolphAvenue NB from Carteret Avenue to Union Street,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,,Cleared
635,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,,RandolphAvenue NB from Carteret Avenue to Union Street,,Construction on RandolphAvenue NB from Carteret Avenue to Union Street,,Updated
636,Incident on BeltSystemShoreParkway WB at Erksine Street,,,BeltSystemShoreParkway WB at Erksine Street,BeltSystemShoreParkway WB at Erksine Street,,Cleared
637,Construction on BergenAvenue,,BergenAvenue,Construction on BergenAvenue,Construction on BergenAvenue,,Updated
638,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,,RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,Updated
639,Construction on ClerkStreet SB at Forrest Street,,ClerkStreet SB at Forrest Street,Construction on ClerkStreet SB at Forrest Street,Construction on ClerkStreet SB at Forrest Street,,Updated
640,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
641,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
642,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
643,Construction on ClerkStreet SB at Forrest Street,,ClerkStreet SB at Forrest Street,,Construction on ClerkStreet SB at Forrest Street,,Cleared
644,Construction on BergenAvenue Both directions from Oak Street to Forrest Street,,BergenAvenue,Construction on BergenAvenue,Construction on BergenAvenue,,Cleared
645,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,,,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,Closure on RandolphAvenue NB from Carteret Avenue to Union Street,RandolphAvenue NB from Carteret Avenue to Union Street,Cleared
646,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Updated
647,Incident on BeltSystemShoreParkway EB at Erksine Street,,,BeltSystemShoreParkway EB at Erksine Street,BeltSystemShoreParkway EB at Erksine Street,,Cleared
648,Closure on VANDERVOORTAVENUE,VANDERVOORTAVENUE,Closure on VANDERVOORTAVENUE Both directions from REWE STREET to MASPETH AVENUE,Closure on VANDERVOORTAVENUE,Closure on VANDERVOORTAVENUE,VANDERVOORTAVENUE,
649,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
650,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
651,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
652,Construction on WestsideAvenue,,WestsideAvenue,,Construction on WestsideAvenue,,Cleared
653,Incident on BeltSystemShoreParkway WB at Erksine Street,,,BeltSystemShoreParkway WB at Erksine Street,BeltSystemShoreParkway WB at Erksine Street,,Updated
654,Incident on BeltSystemShoreParkway EB at Erksine Street,,,BeltSystemShoreParkway EB at Erksine Street,BeltSystemShoreParkway EB at Erksine Street,,Updated
655,Incident on RFKTriboroughBridge EB from Queens Span to Queens Bound,,,RFKTriboroughBridge EB from Queens Span to Queens Bound,RFKTriboroughBridge EB from Queens Span to Queens Bound,,
656,Incident on BeltSystemShoreParkway EB at Erksine Street,,BeltSystemShoreParkway EB at Erksine Street,BeltSystemShoreParkway EB at Erksine Street,BeltSystemShoreParkway EB at Erksine Street,,
657,Incident on BronxRiverParkway SB at Greenacres Avenue,BronxRiverParkway SB at Greenacres Avenue,Greenacres Avenue,BronxRiverParkway SB at Greenacres Avenue,BronxRiverParkway SB at Greenacres Avenue,Greenacres Avenue,
658,,,,SawMillRiverParkway SB at Ashford Avenue,SawMillRiverParkway SB at Ashford Avenue,,
659,Special Event,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,
660,Construction on MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,MorrisParkAvenue,,MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,Updated
661,Construction on OuterbridgeCrossing WB from New York Side to New Jersey Side,,OuterbridgeCrossing WB from New York Side to New Jersey Side,,Construction on OuterbridgeCrossing WB from New York Side to New Jersey Side,,Updated
662,Construction on SandsStreet Both directions at Brooklyn Queens Expressway,,SandsStreet Both directions at Brooklyn Queens Expressway,Brooklyn Queens Expressway,Brooklyn Queens Expressway,,Updated
663,Incident on JohnFKennedyInternationalAirport,,,JohnFKennedyInternationalAirport,JohnFKennedyInternationalAirport,,Updated
664,Incident on JohnFKennedyInternationalAirport,,,JohnFKennedyInternationalAirport,JohnFKennedyInternationalAirport,,
665,Incident on FranklinDRooseveltDrive SB at Williamsburg Bridge,,,Williamsburg Bridge,Williamsburg Bridge,,Updated
666,Incident on FranklinDRooseveltDrive SB at Williamsburg Bridge,,,Williamsburg Bridge,Williamsburg Bridge,,
667,Special Event on VerrazanonarrowsBridge WB,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,Cleared
668,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,Lower Trans Manhattan Expressway,,Updated
669,Construction on NewJerseyTurnpikeHudsonCountyExtension EB from New Jersey Turnpike South to West,,New Jersey Turnpike South to West,New Jersey Turnpike South to West,New Jersey Turnpike South to West,,Updated
670,Incident on VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,,,VerrazanonarrowsBridge WB,VerrazanonarrowsBridge WB,,
671,Construction on NewJerseyTurnpikeHudsonCountyExtension WB,,NewJerseyTurnpikeHudsonCountyExtension WB from East of Newark Bay Bridge to East,East of Newark Bay Bridge,East of Newark Bay Bridge to East,,Updated
672,,,MidHudsonBridge EB,,,,Cleared
673,Construction on KingstonrhinecliffBridge,,KingstonrhinecliffBridge,,Construction on KingstonrhinecliffBridge,,Cleared
674,Construction,,WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,,WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,,Updated
675,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
676,Construction on AtlanticCitybrigantineConnector NB at Atlantic City Expressway,,AtlanticCitybrigantineConnector NB at Atlantic City Expressway,Atlantic City Expressway,Atlantic City Expressway,,Updated
677,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
678,Construction,,NewJerseyTurnpikeHudsonCountyExtension WB,Newark Bay Bridge,Newark Bay Bridge,,
679,Construction on NewJerseyTurnpikeHudsonCountyExtension EB,,New Jersey Turnpike South to West of Newark,New Jersey Turnpike South to West of Newark,New Jersey Turnpike South to West of Newark,,
680,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
681,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,Lower Trans Manhattan Expressway,,Updated
682,Construction on NarrowsRoadNorth WB from Hylan Boulevard to Neckar Avenue,,NarrowsRoadNorth WB,,,,Cleared
683,Construction on GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
684,Construction on BayonneBridge NB at New York Side,,BayonneBridge NB at New York Side,,Construction on BayonneBridge NB at New York Side,,Cleared
685,Construction on LoopParkway Both directions from Long Creek Bridge to Meadowbrook State Parkway,,LoopParkway Both directions from Long Creek Bridge to Meadowbrook State Parkway,,,,Cleared
686,Closure on MainStreet NB from Atlantic Street to Mercer Street,Closure on MainStreet NB from Atlantic Street to Mercer Street,,Closure on MainStreet NB from Atlantic Street to Mercer Street,Closure on MainStreet NB from Atlantic Street to Mercer Street,MainStreet NB from Atlantic Street to Mercer Street,Cleared
687,Cleared: Construction on MidlandAvenue EB from Garden State Parkway to Chelsea Avenue,,MidlandAvenue EB from Garden State Parkway to Chelsea Avenue,Construction on MidlandAvenue EB from Garden State Parkway to Chelsea Avenue,Construction on MidlandAvenue EB from Garden State Parkway to Chelsea Avenue,,Cleared
688,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
689,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
690,Construction on ThrogsNeckBridge SB at Queens Bound,,ThrogsNeckBridge SB at Queens Bound,,Construction on ThrogsNeckBridge SB at Queens Bound,,Cleared
691,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
692,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
693,Incident on GoethalsBridge EB from New York Side to New Jersey Side,,,GoethalsBridge EB,GoethalsBridge EB,,Cleared
694,Incident on GoethalsBridge EB,,from New York Side to New Jersey Side,GoethalsBridge EB,GoethalsBridge EB,,
695,Construction on AtlanticCitybrigantineConnector NB at Atlantic City Expressway,,AtlanticCitybrigantineConnector NB at Atlantic City Expressway,Construction on AtlanticCitybrigantineConnector NB at Atlantic City Expressway,Construction on AtlanticCitybrigantineConnector NB at Atlantic City Expressway,,Cleared
696,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
697,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
698,Closure on AndersonStreet WB from Main Street to Union Street,,,Closure on AndersonStreet WB,Closure on AndersonStreet WB,AndersonStreet WB from Main Street to Union Street,Cleared
699,Cleared: Incident on HarlemRiverDrive NB at Madison Avenue Bridge; Ramp,,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Cleared
700,Incident on HarlemRiverDrive NB at Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,
701,Construction on HarlemRiverDrive SB at Madison Avenue Bridge; Ramp,,Madison Avenue Bridge,Madison Avenue Bridge,Madison Avenue Bridge,,Cleared
702,Cleared: Incident on RFKTriboroughBridge WB,,,RFKTriboroughBridge WB,RFKTriboroughBridge WB,,Cleared
703,Construction on GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard; Ramp,,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,Construction on GrandCentralParkway,GrandCentralParkway,,Cleared
704,Construction on GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard; Ramp,,GrandCentralParkway EB from Bell Boulevard to Springfield Boulevard,,GrandCentralParkway,,Updated
705,Construction on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to North,,NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to North,,North of Southern Mixing Bowl to North,,Updated
706,Closure on ElizabethStreet from Hester Street to Grand Street,,,Closure on ElizabethStreet from Hester Street to Grand Street,Closure on ElizabethStreet from Hester Street to Grand Street,ElizabethStreet from Hester Street to Grand Street,Cleared
